Template,Descriptor,Perplexity
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who incurred a traumatic brain injury,1.477266236617089
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,who stutters,1.7057196405753403
I'm {noun_phrase}.,with a lisp,1.6158221568488698
I'm {noun_phrase}.,with a lisp,1.6158221568488698
I'm {noun_phrase}.,with a lisp,1.6158221568488698
I'm {noun_phrase}.,with a lisp,1.6158221568488698
I'm {noun_phrase}.,with a lisp,1.6158221568488698
I'm {noun_phrase}.,with a lisp,1.6158221568488698
I'm {noun_phrase}.,with a lisp,1.6158221568488698
I'm {noun_phrase}.,with a lisp,1.6158221568488698
I'm {noun_phrase}.,with a lisp,1.6158221568488698
